DateKey;CalendarYear;CalendarHalfYearLabel;CalendarQuarterLabel;CalendarMonth;CalendarMonthLabel;CalendarWeekLabel;CalendarDayOfWeekLabel;IsWorkDay;Start of Week;End of Week
2008-07-08 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 28";"Tuesday";"WorkDay";2008-07-06 00:00:00,000;2008-07-13 00:00:00,000
2008-07-09 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 28";"Wednesday";"WorkDay";2008-07-06 00:00:00,000;2008-07-13 00:00:00,000
2008-07-10 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 28";"Thursday";"WorkDay";2008-07-06 00:00:00,000;2008-07-13 00:00:00,000
2008-07-11 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 28";"Friday";"WorkDay";2008-07-06 00:00:00,000;2008-07-13 00:00:00,000
2008-07-14 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 29";"Monday";"WorkDay";2008-07-13 00:00:00,000;2008-07-20 00:00:00,000
2008-07-15 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 29";"Tuesday";"WorkDay";2008-07-13 00:00:00,000;2008-07-20 00:00:00,000
2008-07-16 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 29";"Wednesday";"WorkDay";2008-07-13 00:00:00,000;2008-07-20 00:00:00,000
2008-07-17 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 29";"Thursday";"WorkDay";2008-07-13 00:00:00,000;2008-07-20 00:00:00,000
2008-07-18 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 29";"Friday";"WorkDay";2008-07-13 00:00:00,000;2008-07-20 00:00:00,000
2008-07-21 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 30";"Monday";"WorkDay";2008-07-20 00:00:00,000;2008-07-27 00:00:00,000
2008-07-22 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 30";"Tuesday";"WorkDay";2008-07-20 00:00:00,000;2008-07-27 00:00:00,000
2008-07-23 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 30";"Wednesday";"WorkDay";2008-07-20 00:00:00,000;2008-07-27 00:00:00,000
2008-07-24 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 30";"Thursday";"WorkDay";2008-07-20 00:00:00,000;2008-07-27 00:00:00,000
2008-07-25 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 30";"Friday";"WorkDay";2008-07-20 00:00:00,000;2008-07-27 00:00:00,000
2008-07-28 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 31";"Monday";"WorkDay";2008-07-27 00:00:00,000;2008-08-03 00:00:00,000
2008-07-29 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 31";"Tuesday";"WorkDay";2008-07-27 00:00:00,000;2008-08-03 00:00:00,000
2008-07-30 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 31";"Wednesday";"WorkDay";2008-07-27 00:00:00,000;2008-08-03 00:00:00,000
2008-07-31 00:00:00,000;2008;"H2";"Q3";200807;"July";"Week 31";"Thursday";"WorkDay";2008-07-27 00:00:00,000;2008-08-03 00:00:00,000
2008-08-01 00:00:00,000;2008;"H2";"Q3";200808;"August";"Week 31";"Friday";"WorkDay";2008-07-27 00:00:00,000;2008-08-03 00:00:00,000
2008-08-04 00:00:00,000;2008;"H2";"Q3";200808;"August";"Week 32";"Monday";"WorkDay";2008-08-03 00:00:00,000;2008-08-10 00:00:00,000
2008-08-05 00:00:00,000;2008;"H2";"Q3";200808;"August";"Week 32";"Tuesday";"WorkDay";2008-08-03 00:00:00,000;2008-08-10 00:00:00,000
2008-08-06 00:00:00,000;2008;"H2";"Q3";200808;"August";"Week 32";"Wednesday";"WorkDay";2008-08-03 00:00:00,000;2008-08-10 00:00:00,000
2008-08-07 00:00:00,000;2008;"H2";"Q3";200808;"August";"Week 32";"Thursday";"WorkDay";2008-08-03 00:00:00,000;2008-08-10 00:00:00,000
2008-08-08 00:00:00,000;2008;"H2";"Q3";200808;"August";"Week 32";"Friday";"WorkDay";2008-08-03 00:00:00,000;2008-08-10 00:00:00,000
2008-08-11 00:00:00,000;2008;"H2";"Q3";200808;"August";"Week 33";"Monday";"WorkDay";2008-08-10 00:00:00,000;2008-08-17 00:00:00,000
2008-08-12 00:00:00,000;2008;"H2";"Q3";200808;"August";"Week 33";"Tuesday";"WorkDay";2008-08-10 00:00:00,000;2008-08-17 00:00:00,000
2008-08-13 00:00:00,000;2008;"H2";"Q3";200808;"August";"Week 33";"Wednesday";"WorkDay";2008-08-10 00:00:00,000;2008-08-17 00:00:00,000
2008-08-14 00:00:00,000;2008;"H2";"Q3";200808;"August";"Week 33";"Thursday";"WorkDay";2008-08-10 00:00:00,000;2008-08-17 00:00:00,000
2008-08-15 00:00:00,000;2008;"H2";"Q3";200808;"August";"Week 33";"Friday";"WorkDay";2008-08-10 00:00:00,000;2008-08-17 00:00:00,000
